CaseID,Gender,Age,Education,Race/ Ethnicity,Region,Registered to Vote,Religion,Volunteered in the Past Year,Attended a Political Rally in the Past Year,Contacted an Elected Official in the Past Year,Political Donation in the Past Year,Househol Income,Political Party,User Frequency
6,Female,28,High School,2+ Races/Non-Hispanic,South,No,"Christian, Roman Catholic",1,0,1,0,75k to <100k,Democrat,Several Times a day
7,Female,61,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Atheist,1,1,1,0,25k to <50k,Other,A few times a week
8,Male,49,Some College,Black/Non-Hispanic,South,Yes,Atheist,0,0,0,0,100k to <150k,Democrat,Once a day
11,Male,56,Some College,White/Non-Hispanic,West,Yes,Nothing in particular,1,0,0,0,100k to <150k,Republican,Several Times a day
12,Female,32,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,0,150k+,Republican,Once a week
14,Male,58,High School,White/Non-Hispanic,South,No,"Christian, Protestant",1,0,0,0,<10k,Republican,A few times a month
15,Female,72,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,1,1,100k to <150k,Republican,Several Times a day
16,Male,74,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Atheist,1,1,1,1,150k+,Democrat,Several Times a day
17,Male,31,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Atheist,1,0,0,0,100k to <150k,Democrat,Once a day
18,Male,31,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,Agnostic,0,0,0,0,100k to <150k,Other,Once a week
19,Female,22,Some College,2+ Races/Non-Hispanic,South,Yes,"Christian, Roman Catholic",0,0,0,0,150k+,Other,Several Times a day
20,Female,30,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Agnostic,0,0,0,1,100k to <150k,Democrat,Once a week
21,Female,69,Bachelor and Beyond,White/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",1,1,1,1,100k to <150k,Democrat,Several Times a day
23,Male,63,Bachelor and Beyond,White/Non-Hispanic,South,Yes,"Christian, Protestant",1,0,1,1,150k+,Republican,Once a day
24,Female,29,Less then High School,White/Non-Hispanic,South,Yes,Other,0,0,1,0,75k to <100k,Democrat,Several Times a day
25,Female,25,Bachelor and Beyond,White/Non-Hispanic,West,Yes,Jewish,0,0,0,0,150k+,Democrat,A few times a month
26,Female,45,Bachelor and Beyond,White/Non-Hispanic,South,Yes,Nothing in particular,1,0,0,0,100k to <150k,Other,Several Times a day
30,Female,37,Bachelor and Beyond,White/Non-Hispanic,Midwest,Yes,Atheist,1,1,1,1,150k+,Democrat,Several Times a day
32,Male,27,Less then High School,2+ Races/Non-Hispanic,West,Yes,"Christian, Roman Catholic",0,0,1,0,75k to <100k,Democrat,Several Times a day
35,Male,68,Bachelor and Beyond,2+ Races/Non-Hispanic,Northeast,Yes,"Christian, Protestant",1,1,1,1,50k to <75k,Republican,Once a day
36,Male,40,Bachelor and Beyond,White/Non-Hispanic,Midwest,Probably,"Christian, Orthodox",1,1,1,0,100k to <150k,Democrat,Several Times a day
37,Male,23,Some College,White/Non-Hispanic,Midwest,Yes,Atheist,0,0,0,0,100k to <150k,Other,A few times a month
39,Male,21,Some College,Black/Non-Hispanic,Northeast,Yes,"Christian, Roman Catholic",0,0,0,0,50k to <75k,Democrat,Once a day
42,Female,31,Some College,White/Non-Hispanic,Midwest,Yes,Agnostic,0,0,0,0,75k to <100k,Other,A few times a week
43,Male,25,High School,White/Non-Hispanic,South,No,Nothing in particular,0,0,0,0,50k to <75k,Other,A few times a month
