CaseID,Col2,Col3
6,Gender,Female
6,Age,28
6,Education,High School
6,Race/ Ethnicity,2+ Races/Non-Hispanic
6,Region,South
6,Registered to Vote,No
6,Religion,"Christian, Roman Catholic"
6,Volunteered in the Past Year,1
6,Attended a Political Rally in the Past Year,0
6,Contacted an Elected Official in the Past Year,1
6,Political Donation in the Past Year,0
6,Househol Income,75k to <100k
6,Political Party,Democrat
6,User Frequency,Several Times a day
7,Gender,Female
7,Age,61
7,Education,Bachelor and Beyond
7,Race/ Ethnicity,White/Non-Hispanic
7,Region,South
7,Registered to Vote,Yes
7,Religion,Atheist
7,Volunteered in the Past Year,1
7,Attended a Political Rally in the Past Year,1
7,Contacted an Elected Official in the Past Year,1
7,Political Donation in the Past Year,0
7,Househol Income,25k to <50k
7,Political Party,Other
7,User Frequency,A few times a week
8,Gender,Male
8,Age,49
8,Education,Some College
8,Race/ Ethnicity,Black/Non-Hispanic
8,Region,South
8,Registered to Vote,Yes
8,Religion,Atheist
8,Volunteered in the Past Year,0
8,Attended a Political Rally in the Past Year,0
8,Contacted an Elected Official in the Past Year,0
8,Political Donation in the Past Year,0
8,Househol Income,100k to <150k
8,Political Party,Democrat
8,User Frequency,Once a day
11,Gender,Male
11,Age,56
11,Education,Some College
11,Race/ Ethnicity,White/Non-Hispanic
11,Region,West
11,Registered to Vote,Yes
11,Religion,Nothing in particular
11,Volunteered in the Past Year,1
11,Attended a Political Rally in the Past Year,0
11,Contacted an Elected Official in the Past Year,0
11,Political Donation in the Past Year,0
11,Househol Income,100k to <150k
11,Political Party,Republican
11,User Frequency,Several Times a day
12,Gender,Female
12,Age,32
12,Education,Bachelor and Beyond
12,Race/ Ethnicity,White/Non-Hispanic
12,Region,South
12,Registered to Vote,Yes
12,Religion,"Christian, Protestant"
12,Volunteered in the Past Year,1
12,Attended a Political Rally in the Past Year,0
12,Contacted an Elected Official in the Past Year,1
12,Political Donation in the Past Year,0
12,Househol Income,150k+
12,Political Party,Republican
12,User Frequency,Once a week
14,Gender,Male
14,Age,58
14,Education,High School
14,Race/ Ethnicity,White/Non-Hispanic
14,Region,South
14,Registered to Vote,No
14,Religion,"Christian, Protestant"
14,Volunteered in the Past Year,1
14,Attended a Political Rally in the Past Year,0
14,Contacted an Elected Official in the Past Year,0
14,Political Donation in the Past Year,0
14,Househol Income,<10k
14,Political Party,Republican
14,User Frequency,A few times a month
15,Gender,Female
15,Age,72
15,Education,Bachelor and Beyond
15,Race/ Ethnicity,White/Non-Hispanic
15,Region,South
15,Registered to Vote,Yes
15,Religion,"Christian, Roman Catholic"
15,Volunteered in the Past Year,0
15,Attended a Political Rally in the Past Year,0
15,Contacted an Elected Official in the Past Year,1
15,Political Donation in the Past Year,1
15,Househol Income,100k to <150k
15,Political Party,Republican
15,User Frequency,Several Times a day
16,Gender,Male
16,Age,74
16,Education,Bachelor and Beyond
16,Race/ Ethnicity,White/Non-Hispanic
16,Region,West
16,Registered to Vote,Yes
16,Religion,Atheist
16,Volunteered in the Past Year,1
16,Attended a Political Rally in the Past Year,1
16,Contacted an Elected Official in the Past Year,1
16,Political Donation in the Past Year,1
16,Househol Income,150k+
16,Political Party,Democrat
16,User Frequency,Several Times a day
17,Gender,Male
17,Age,31
17,Education,Bachelor and Beyond
17,Race/ Ethnicity,White/Non-Hispanic
17,Region,South
17,Registered to Vote,Yes
17,Religion,Atheist
17,Volunteered in the Past Year,1
17,Attended a Political Rally in the Past Year,0
17,Contacted an Elected Official in the Past Year,0
17,Political Donation in the Past Year,0
17,Househol Income,100k to <150k
17,Political Party,Democrat
17,User Frequency,Once a day
18,Gender,Male
18,Age,31
18,Education,Bachelor and Beyond
18,Race/ Ethnicity,White/Non-Hispanic
18,Region,Northeast
18,Registered to Vote,Yes
18,Religion,Agnostic
18,Volunteered in the Past Year,0
18,Attended a Political Rally in the Past Year,0
18,Contacted an Elected Official in the Past Year,0
18,Political Donation in the Past Year,0
18,Househol Income,100k to <150k
18,Political Party,Other
18,User Frequency,Once a week
19,Gender,Female
19,Age,22
19,Education,Some College
19,Race/ Ethnicity,2+ Races/Non-Hispanic
19,Region,South
19,Registered to Vote,Yes
19,Religion,"Christian, Roman Catholic"
19,Volunteered in the Past Year,0
19,Attended a Political Rally in the Past Year,0
19,Contacted an Elected Official in the Past Year,0
19,Political Donation in the Past Year,0
19,Househol Income,150k+
19,Political Party,Other
19,User Frequency,Several Times a day
20,Gender,Female
20,Age,30
20,Education,Bachelor and Beyond
20,Race/ Ethnicity,White/Non-Hispanic
20,Region,West
20,Registered to Vote,Yes
20,Religion,Agnostic
20,Volunteered in the Past Year,0
20,Attended a Political Rally in the Past Year,0
20,Contacted an Elected Official in the Past Year,0
20,Political Donation in the Past Year,1
20,Househol Income,100k to <150k
20,Political Party,Democrat
20,User Frequency,Once a week
21,Gender,Female
21,Age,69
21,Education,Bachelor and Beyond
21,Race/ Ethnicity,White/Non-Hispanic
21,Region,Northeast
21,Registered to Vote,Yes
21,Religion,"Christian, Roman Catholic"
21,Volunteered in the Past Year,1
21,Attended a Political Rally in the Past Year,1
21,Contacted an Elected Official in the Past Year,1
21,Political Donation in the Past Year,1
21,Househol Income,100k to <150k
21,Political Party,Democrat
21,User Frequency,Several Times a day
23,Gender,Male
23,Age,63
23,Education,Bachelor and Beyond
23,Race/ Ethnicity,White/Non-Hispanic
23,Region,South
23,Registered to Vote,Yes
23,Religion,"Christian, Protestant"
23,Volunteered in the Past Year,1
23,Attended a Political Rally in the Past Year,0
23,Contacted an Elected Official in the Past Year,1
23,Political Donation in the Past Year,1
23,Househol Income,150k+
23,Political Party,Republican
23,User Frequency,Once a day
24,Gender,Female
24,Age,29
24,Education,Less then High School
24,Race/ Ethnicity,White/Non-Hispanic
24,Region,South
24,Registered to Vote,Yes
24,Religion,Other
24,Volunteered in the Past Year,0
24,Attended a Political Rally in the Past Year,0
24,Contacted an Elected Official in the Past Year,1
24,Political Donation in the Past Year,0
24,Househol Income,75k to <100k
24,Political Party,Democrat
24,User Frequency,Several Times a day
25,Gender,Female
25,Age,25
25,Education,Bachelor and Beyond
25,Race/ Ethnicity,White/Non-Hispanic
25,Region,West
25,Registered to Vote,Yes
25,Religion,Jewish
25,Volunteered in the Past Year,0
25,Attended a Political Rally in the Past Year,0
25,Contacted an Elected Official in the Past Year,0
25,Political Donation in the Past Year,0
25,Househol Income,150k+
25,Political Party,Democrat
25,User Frequency,A few times a month
26,Gender,Female
26,Age,45
26,Education,Bachelor and Beyond
26,Race/ Ethnicity,White/Non-Hispanic
26,Region,South
26,Registered to Vote,Yes
26,Religion,Nothing in particular
26,Volunteered in the Past Year,1
26,Attended a Political Rally in the Past Year,0
26,Contacted an Elected Official in the Past Year,0
26,Political Donation in the Past Year,0
26,Househol Income,100k to <150k
26,Political Party,Other
26,User Frequency,Several Times a day
30,Gender,Female
30,Age,37
30,Education,Bachelor and Beyond
30,Race/ Ethnicity,White/Non-Hispanic
30,Region,Midwest
30,Registered to Vote,Yes
30,Religion,Atheist
30,Volunteered in the Past Year,1
30,Attended a Political Rally in the Past Year,1
30,Contacted an Elected Official in the Past Year,1
30,Political Donation in the Past Year,1
30,Househol Income,150k+
30,Political Party,Democrat
30,User Frequency,Several Times a day
32,Gender,Male
32,Age,27
32,Education,Less then High School
32,Race/ Ethnicity,2+ Races/Non-Hispanic
32,Region,West
32,Registered to Vote,Yes
32,Religion,"Christian, Roman Catholic"
32,Volunteered in the Past Year,0
32,Attended a Political Rally in the Past Year,0
32,Contacted an Elected Official in the Past Year,1
32,Political Donation in the Past Year,0
32,Househol Income,75k to <100k
32,Political Party,Democrat
32,User Frequency,Several Times a day
35,Gender,Male
35,Age,68
35,Education,Bachelor and Beyond
35,Race/ Ethnicity,2+ Races/Non-Hispanic
35,Region,Northeast
35,Registered to Vote,Yes
35,Religion,"Christian, Protestant"
35,Volunteered in the Past Year,1
35,Attended a Political Rally in the Past Year,1
35,Contacted an Elected Official in the Past Year,1
35,Political Donation in the Past Year,1
35,Househol Income,50k to <75k
35,Political Party,Republican
35,User Frequency,Once a day
36,Gender,Male
36,Age,40
36,Education,Bachelor and Beyond
36,Race/ Ethnicity,White/Non-Hispanic
36,Region,Midwest
36,Registered to Vote,Probably
36,Religion,"Christian, Orthodox"
36,Volunteered in the Past Year,1
36,Attended a Political Rally in the Past Year,1
36,Contacted an Elected Official in the Past Year,1
36,Political Donation in the Past Year,0
36,Househol Income,100k to <150k
36,Political Party,Democrat
36,User Frequency,Several Times a day
37,Gender,Male
37,Age,23
37,Education,Some College
37,Race/ Ethnicity,White/Non-Hispanic
37,Region,Midwest
37,Registered to Vote,Yes
37,Religion,Atheist
37,Volunteered in the Past Year,0
37,Attended a Political Rally in the Past Year,0
37,Contacted an Elected Official in the Past Year,0
37,Political Donation in the Past Year,0
37,Househol Income,100k to <150k
37,Political Party,Other
37,User Frequency,A few times a month
39,Gender,Male
39,Age,21
39,Education,Some College
39,Race/ Ethnicity,Black/Non-Hispanic
39,Region,Northeast
39,Registered to Vote,Yes
39,Religion,"Christian, Roman Catholic"
39,Volunteered in the Past Year,0
39,Attended a Political Rally in the Past Year,0
39,Contacted an Elected Official in the Past Year,0
39,Political Donation in the Past Year,0
39,Househol Income,50k to <75k
39,Political Party,Democrat
39,User Frequency,Once a day
42,Gender,Female
42,Age,31
42,Education,Some College
42,Race/ Ethnicity,White/Non-Hispanic
42,Region,Midwest
42,Registered to Vote,Yes
42,Religion,Agnostic
42,Volunteered in the Past Year,0
42,Attended a Political Rally in the Past Year,0
42,Contacted an Elected Official in the Past Year,0
42,Political Donation in the Past Year,0
42,Househol Income,75k to <100k
42,Political Party,Other
42,User Frequency,A few times a week
43,Gender,Male
43,Age,25
43,Education,High School
43,Race/ Ethnicity,White/Non-Hispanic
43,Region,South
43,Registered to Vote,No
43,Religion,Nothing in particular
43,Volunteered in the Past Year,0
43,Attended a Political Rally in the Past Year,0
43,Contacted an Elected Official in the Past Year,0
43,Political Donation in the Past Year,0
43,Househol Income,50k to <75k
43,Political Party,Other
43,User Frequency,A few times a month
44,Gender,Female
44,Age,34
44,Education,High School
44,Race/ Ethnicity,Hispanic
44,Region,South
44,Registered to Vote,No
44,Religion,Agnostic
44,Volunteered in the Past Year,0
44,Attended a Political Rally in the Past Year,0
44,Contacted an Elected Official in the Past Year,0
44,Political Donation in the Past Year,0
44,Househol Income,25k to <50k
44,Political Party,Other
44,User Frequency,A few times a week
47,Gender,Male
47,Age,44
47,Education,Bachelor and Beyond
47,Race/ Ethnicity,White/Non-Hispanic
47,Region,South
47,Registered to Vote,Yes
47,Religion,"Christian, Protestant"
47,Volunteered in the Past Year,1
47,Attended a Political Rally in the Past Year,0
47,Contacted an Elected Official in the Past Year,0
47,Political Donation in the Past Year,1
47,Househol Income,100k to <150k
47,Political Party,Republican
47,User Frequency,Once a day
48,Gender,Female
48,Age,50
48,Education,Bachelor and Beyond
48,Race/ Ethnicity,2+ Races/Non-Hispanic
48,Region,South
48,Registered to Vote,Yes
48,Religion,"Christian, Roman Catholic"
48,Volunteered in the Past Year,1
