CaseID,StructureID,StructureValue
6,SOCTRUST2_order,order 2
6,CONGPOST_order,
6,GSSTRUST3_order,order 1
6,POLCRCT_order,order 1
6,ECONFAIR2_order,order 1
6,IMMCULT2_order,order 2
6,GSSTRUST2_order,order 1
6,SNSSKEP_order,order 2
6,QBELIEF3_order,order 2
6,QBELIEF4_order,order 2
6,TWKNOW_order,order 2
6,TWAUTO_order,order 1
6,JOKE1_order,order 1
6,CHOICE1_order,order 2
6,WOMENOPPS_order,order 1
6,FAIRTRT_order,order 1
6,TALKREL_order,order 1
7,SOCTRUST2_order,order 1
7,CONGPOST_order,order 2
7,GSSTRUST3_order,order 1
7,POLCRCT_order,order 1
7,ECONFAIR2_order,order 1
7,IMMCULT2_order,order 1
7,GSSTRUST2_order,order 1
7,SNSSKEP_order,order 2
7,QBELIEF3_order,order 1
7,QBELIEF4_order,order 1
7,TWKNOW_order,order 1
7,TWAUTO_order,order 1
7,JOKE1_order,order 1
7,CHOICE1_order,order 1
7,WOMENOPPS_order,order 1
7,FAIRTRT_order,order 2
7,TALKREL_order,order 2
8,SOCTRUST2_order,order 1
8,CONGPOST_order,order 2
8,GSSTRUST3_order,order 2
8,POLCRCT_order,order 2
8,ECONFAIR2_order,order 1
8,IMMCULT2_order,order 1
8,GSSTRUST2_order,order 1
8,SNSSKEP_order,order 2
8,QBELIEF3_order,order 1
8,QBELIEF4_order,order 1
8,TWKNOW_order,order 1
8,TWAUTO_order,order 2
8,JOKE1_order,order 2
8,CHOICE1_order,order 2
8,WOMENOPPS_order,order 1
8,FAIRTRT_order,order 1
8,TALKREL_order,order 2
11,SOCTRUST2_order,order 2
11,CONGPOST_order,
11,GSSTRUST3_order,order 2
11,POLCRCT_order,order 2
11,ECONFAIR2_order,order 1
11,IMMCULT2_order,order 1
11,GSSTRUST2_order,order 1
11,SNSSKEP_order,order 1
11,QBELIEF3_order,order 2
11,QBELIEF4_order,order 2
11,TWKNOW_order,order 2
11,TWAUTO_order,order 1
11,JOKE1_order,order 1
11,CHOICE1_order,order 2
11,WOMENOPPS_order,order 1
11,FAIRTRT_order,order 2
11,TALKREL_order,order 1
12,SOCTRUST2_order,order 1
12,CONGPOST_order,order 1
12,GSSTRUST3_order,order 1
12,POLCRCT_order,order 1
12,ECONFAIR2_order,order 2
12,IMMCULT2_order,order 2
12,GSSTRUST2_order,order 2
12,SNSSKEP_order,order 2
12,QBELIEF3_order,order 2
12,QBELIEF4_order,order 2
12,TWKNOW_order,order 1
12,TWAUTO_order,order 2
12,JOKE1_order,order 2
