CaseID,ThermoID,ThermoValue
6,THERMOa,1
6,THERMOb,40
6,THERMOc,58
6,THERMOd,58
6,THERMOe,57
6,THERMOf,42
6,THERMOg,45
6,THERMOh,42
7,THERMOa,11
7,THERMOb,47
7,THERMOc,52
7,THERMOd,46
7,THERMOe,50
7,THERMOf,31
7,THERMOg,10
7,THERMOh,23
8,THERMOa,11
8,THERMOb,47
8,THERMOc,47
8,THERMOd,23
8,THERMOe,50
8,THERMOf,31
8,THERMOg,38
8,THERMOh,17
11,THERMOa,55
11,THERMOb,9
11,THERMOc,18
11,THERMOd,53
11,THERMOe,1
11,THERMOf,19
11,THERMOg,33
11,THERMOh,31
12,THERMOa,50
12,THERMOb,28
12,THERMOc,47
12,THERMOd,46
12,THERMOe,49
12,THERMOf,39
12,THERMOg,25
12,THERMOh,20
14,THERMOa,39
14,THERMOb,23
14,THERMOc,36
14,THERMOd,53
14,THERMOe,17
14,THERMOf,39
14,THERMOg,55
14,THERMOh,53
15,THERMOa,33
15,THERMOb,17
15,THERMOc,17
15,THERMOd,42
15,THERMOe,18
15,THERMOf,29
15,THERMOg,31
15,THERMOh,38
16,THERMOa,1
16,THERMOb,52
16,THERMOc,52
16,THERMOd,53
16,THERMOe,50
16,THERMOf,31
16,THERMOg,1
16,THERMOh,1
17,THERMOa,1
17,THERMOb,43
17,THERMOc,58
17,THERMOd,46
17,THERMOe,50
17,THERMOf,31
17,THERMOg,10
17,THERMOh,23
18,THERMOa,47
18,THERMOb,17
18,THERMOc,41
18,THERMOd,53
18,THERMOe,18
18,THERMOf,31
18,THERMOg,31
18,THERMOh,23
19,THERMOa,11
19,THERMOb,9
19,THERMOc,11
19,THERMOd,10
19,THERMOe,11
19,THERMOf,11
19,THERMOg,10
19,THERMOh,10
20,THERMOa,14
20,THERMOb,40
20,THERMOc,47
20,THERMOd,17
20,THERMOe,50
20,THERMOf,36
20,THERMOg,25
20,THERMOh,35
21,THERMOa,21
21,THERMOb,40
21,THERMOc,36
21,THERMOd,46
21,THERMOe,45
21,THERMOf,34
21,THERMOg,10
21,THERMOh,28
23,THERMOa,51
23,THERMOb,9
23,THERMOc,17
23,THERMOd,58
23,THERMOe,11
23,THERMOf,34
23,THERMOg,50
23,THERMOh,43
24,THERMOa,1
24,THERMOb,43
24,THERMOc,43
24,THERMOd,15
24,THERMOe,52
24,THERMOf,46
24,THERMOg,16
24,THERMOh,14
25,THERMOa,33
25,THERMOb,52
25,THERMOc,52
25,THERMOd,53
25,THERMOe,50
25,THERMOf,42
25,THERMOg,50
25,THERMOh,46
26,THERMOa,33
26,THERMOb,28
26,THERMOc,47
26,THERMOd,58
26,THERMOe,45
26,THERMOf,42
26,THERMOg,50
26,THERMOh,46
30,THERMOa,1
30,THERMOb,52
30,THERMOc,58
30,THERMOd,13
30,THERMOe,45
30,THERMOf,34
30,THERMOg,1
30,THERMOh,23
32,THERMOa,17
32,THERMOb,52
32,THERMOc,52
32,THERMOd,53
32,THERMOe,50
32,THERMOf,42
32,THERMOg,21
32,THERMOh,23
35,THERMOa,61
35,THERMOb,1
35,THERMOc,11
35,THERMOd,58
35,THERMOe,1
35,THERMOf,11
35,THERMOg,55
35,THERMOh,10
36,THERMOa,61
36,THERMOb,4
36,THERMOc,6
36,THERMOd,6
36,THERMOe,7
36,THERMOf,6
36,THERMOg,55
36,THERMOh,1
37,THERMOa,33
37,THERMOb,28
37,THERMOc,29
37,THERMOd,1
37,THERMOe,28
37,THERMOf,31
37,THERMOg,31
37,THERMOh,23
39,THERMOa,1
39,THERMOb,44
39,THERMOc,47
39,THERMOd,27
39,THERMOe,44
39,THERMOf,39
39,THERMOg,41
39,THERMOh,31
42,THERMOa,17
42,THERMOb,23
42,THERMOc,29
42,THERMOd,27
42,THERMOe,28
42,THERMOf,31
42,THERMOg,28
42,THERMOh,17
43,THERMOa,33
43,THERMOb,28
43,THERMOc,29
43,THERMOd,46
43,THERMOe,17
43,THERMOf,31
43,THERMOg,31
43,THERMOh,23
44,THERMOa,33
44,THERMOb,28
44,THERMOc,29
44,THERMOd,27
44,THERMOe,23
44,THERMOf,31
44,THERMOg,31
44,THERMOh,23
47,THERMOa,33
47,THERMOb,28
47,THERMOc,29
47,THERMOd,38
47,THERMOe,38
47,THERMOf,36
47,THERMOg,25
47,THERMOh,23
48,THERMOa,55
48,THERMOb,23
48,THERMOc,47
48,THERMOd,33
48,THERMOe,33
48,THERMOf,16
48,THERMOg,21
48,THERMOh,28
50,THERMOa,33
50,THERMOb,28
50,THERMOc,47
50,THERMOd,58
50,THERMOe,45
50,THERMOf,31
50,THERMOg,1
50,THERMOh,23
51,THERMOa,24
51,THERMOb,48
51,THERMOc,56
51,THERMOd,42
51,THERMOe,46
51,THERMOf,19
51,THERMOg,1
51,THERMOh,38
52,THERMOa,55
52,THERMOb,1
52,THERMOc,29
52,THERMOd,54
52,THERMOe,23
52,THERMOf,37
52,THERMOg,50
52,THERMOh,23
54,THERMOa,47
54,THERMOb,3
54,THERMOc,22
54,THERMOd,57
54,THERMOe,28
54,THERMOf,3
54,THERMOg,50
54,THERMOh,31
55,THERMOa,39
55,THERMOb,14
55,THERMOc,24
55,THERMOd,38
55,THERMOe,19
55,THERMOf,11
55,THERMOg,21
55,THERMOh,20
108,THERMOa,37
108,THERMOb,18
108,THERMOc,11
108,THERMOd,42
108,THERMOe,17
108,THERMOf,29
108,THERMOg,41
108,THERMOh,28
111,THERMOa,1
111,THERMOb,52
111,THERMOc,58
111,THERMOd,13
111,THERMOe,50
111,THERMOf,37
111,THERMOg,1
111,THERMOh,15
112,THERMOa,24
112,THERMOb,48
112,THERMOc,47
112,THERMOd,46
112,THERMOe,28
112,THERMOf,21
112,THERMOg,21
112,THERMOh,20
113,THERMOa,33
113,THERMOb,28
113,THERMOc,36
113,THERMOd,23
113,THERMOe,28
113,THERMOf,31
113,THERMOg,36
113,THERMOh,23
114,THERMOa,21
114,THERMOb,35
114,THERMOc,47
114,THERMOd,27
114,THERMOe,28
114,THERMOf,6
114,THERMOg,6
114,THERMOh,6
115,THERMOa,21
115,THERMOb,35
115,THERMOc,52
115,THERMOd,42
115,THERMOe,33
115,THERMOf,34
115,THERMOg,21
115,THERMOh,28
116,THERMOa,1
116,THERMOb,52
116,THERMOc,41
116,THERMOd,33
116,THERMOe,33
116,THERMOf,1
116,THERMOg,1
116,THERMOh,1
117,THERMOa,21
117,THERMOb,40
117,THERMOc,54
117,THERMOd,46
117,THERMOe,50
117,THERMOf,34
117,THERMOg,25
117,THERMOh,28
119,THERMOa,33
119,THERMOb,28
119,THERMOc,52
119,THERMOd,49
119,THERMOe,50
119,THERMOf,34
119,THERMOg,31
119,THERMOh,38
120,THERMOa,6
120,THERMOb,52
120,THERMOc,47
120,THERMOd,42
120,THERMOe,46
120,THERMOf,41
120,THERMOg,16
120,THERMOh,35
122,THERMOa,33
122,THERMOb,28
122,THERMOc,41
122,THERMOd,46
122,THERMOe,38
122,THERMOf,1
122,THERMOg,1
122,THERMOh,1
123,THERMOa,21
123,THERMOb,21
123,THERMOc,36
123,THERMOd,49
123,THERMOe,23
123,THERMOf,39
123,THERMOg,55
123,THERMOh,53
124,THERMOa,17
124,THERMOb,47
124,THERMOc,47
124,THERMOd,42
124,THERMOe,50
124,THERMOf,29
124,THERMOg,10
124,THERMOh,20
126,THERMOa,50
126,THERMOb,37
126,THERMOc,38
126,THERMOd,46
126,THERMOe,35
126,THERMOf,35
126,THERMOg,50
126,THERMOh,42
127,THERMOa,1
127,THERMOb,52
127,THERMOc,57
127,THERMOd,6
127,THERMOe,57
127,THERMOf,42
127,THERMOg,1
127,THERMOh,46
130,THERMOa,18
130,THERMOb,57
130,THERMOc,53
130,THERMOd,5
130,THERMOe,20
130,THERMOf,14
130,THERMOg,54
130,THERMOh,53
131,THERMOa,11
131,THERMOb,40
131,THERMOc,43
131,THERMOd,53
131,THERMOe,28
131,THERMOf,31
131,THERMOg,31
131,THERMOh,46
132,THERMOa,61
132,THERMOb,59
132,THERMOc,58
132,THERMOd,58
132,THERMOe,57
132,THERMOf,46
132,THERMOg,55
132,THERMOh,53
133,THERMOa,26
133,THERMOb,23
133,THERMOc,36
133,THERMOd,33
133,THERMOe,19
133,THERMOf,29
133,THERMOg,36
133,THERMOh,23
134,THERMOa,1
134,THERMOb,52
134,THERMOc,47
134,THERMOd,16
134,THERMOe,46
134,THERMOf,41
134,THERMOg,1
134,THERMOh,10
136,THERMOa,33
136,THERMOb,28
136,THERMOc,58
136,THERMOd,38
136,THERMOe,45
136,THERMOf,31
136,THERMOg,31
136,THERMOh,23
138,THERMOa,11
138,THERMOb,28
138,THERMOc,58
138,THERMOd,58
138,THERMOe,28
138,THERMOf,39
138,THERMOg,45
138,THERMOh,42
139,THERMOa,21
139,THERMOb,40
139,THERMOc,52
139,THERMOd,53
139,THERMOe,50
139,THERMOf,31
139,THERMOg,31
139,THERMOh,23
140,THERMOa,21
140,THERMOb,35
140,THERMOc,47
140,THERMOd,33
140,THERMOe,38
140,THERMOf,31
140,THERMOg,10
140,THERMOh,23
143,THERMOa,1
143,THERMOb,55
143,THERMOc,58
143,THERMOd,42
143,THERMOe,57
143,THERMOf,37
143,THERMOg,1
143,THERMOh,15
144,THERMOa,47
144,THERMOb,17
144,THERMOc,11
144,THERMOd,46
144,THERMOe,45
144,THERMOf,31
144,THERMOg,45
144,THERMOh,23
146,THERMOa,6
146,THERMOb,1
146,THERMOc,1
146,THERMOd,58
146,THERMOe,1
146,THERMOf,1
146,THERMOg,1
146,THERMOh,1
147,THERMOa,17
147,THERMOb,40
147,THERMOc,58
147,THERMOd,23
147,THERMOe,50
147,THERMOf,34
147,THERMOg,21
147,THERMOh,23
148,THERMOa,28
148,THERMOb,18
148,THERMOc,36
148,THERMOd,53
148,THERMOe,21
148,THERMOf,31
148,THERMOg,50
148,THERMOh,28
149,THERMOa,17
149,THERMOb,37
149,THERMOc,41
149,THERMOd,46
149,THERMOe,45
149,THERMOf,29
149,THERMOg,15
149,THERMOh,29
151,THERMOa,47
151,THERMOb,17
151,THERMOc,17
151,THERMOd,53
151,THERMOe,23
151,THERMOf,31
151,THERMOg,31
151,THERMOh,23
154,THERMOa,1
154,THERMOb,1
154,THERMOc,9
154,THERMOd,8
154,THERMOe,6
154,THERMOf,6
154,THERMOg,6
154,THERMOh,6
155,THERMOa,21
155,THERMOb,18
